Text,Retweet count,Favorite count
"b'@deziraygouw asli bebbbb waktu itu baru kita bahas bgt kan yg di mbim pulang kondangan, tp pas itu study case nya o\xe2\x80\xa6 https://t.co/ONYHeH6xYy'",0,0
"b'Ngapain pulang? Menetap aja di Suriah, lanjutkan perjuanganmu. Pantang menyerah\xe2\x9c\x8a'",0,0
"b'@SethAbramson ""Russia was waging cyberwar on America""...cyberwar, *21st cen*....treasonous, traitorous, territory h\xe2\x80\xa6 https://t.co/bNrsXr7vyf'",0,0
b'@Iqbal__Kholidi Apa kata anak2 HTI tentang khilafah yg mrk cita\xc2\xb2kan berdiri di Indonesia jika ex warga khilafah Isl\xe2\x80\xa6 https://t.co/SBjgC8eii9',0,0
b'Sia Isis https://t.co/frotlrIiMD',0,0
"b""Obama wouldn't do that to his Muslim brothers. Think of money on a pallet and a private unmarked jet on a runway in\xe2\x80\xa6 https://t.co/wQ1UusNhpx""",0,0
"b'Gak, ga ada. Taro aja di penjara Iraq atau Suriah'",0,0
"b""British SAS hero 'takes out 30 ISIS fighters with a grenade launcher' https://t.co/deLqZI4R2W""",0,0
b'Ideologi mereka takan pernah mati',0,0
"b'""Walmart parking lot"" LOL'",0,0
b'Jgn kembali dahRT @BBCIndonesia: Puluhan WNI ditemukan di antara ribuan petempur asing ISIS di kamp pengungsi Suria\xe2\x80\xa6 https://t.co/27JhS7Tj0h',0,0
b'Let\xc3\xadcia: pessoas que n\xc3\xa3o me conhecem ou minha irm\xc3\xa3/m\xc3\xa3e bravas\nL\xc3\xaa: maioria das pessoas\nMontalv\xc3\xa3o: glr do B basicamen\xe2\x80\xa6 https://t.co/cfZG7Nl5Gy',0,0
b'@murad_ismael @saudziad1 @UN @UNHumanRights UN is hostage in hands of rich Sunni Arab states who pumped money and s\xe2\x80\xa6 https://t.co/BpP3v8cKak',0,0
b'@BBCIndonesia ISIS = PKI = HTI = Jangan biarkan mereka kembali !!!',0,0
"b""@RyanAFournier Come on you know better than that... He doesn't wish he would have taken them on... The unamerican,\xe2\x80\xa6 https://t.co/NGIPtxGYKG""",0,0
"b""@ReaganiteLEO @adagioforstring Mueller has the keen ability to just turn things off and pretend it's not there. Kin\xe2\x80\xa6 https://t.co/YqNwpxk8wz""",0,0
"b""@GregNorberg They'll create their own hell (isis) all over again, so ya, they should all go back to their land of freedom.""",0,0
b'https://t.co/P0cLyAxOcL',0,0
b'Why would he want to stop that which he so carefully built and funded?',0,0
"b'@wb___maine @maggieNYT Well economy is booming , unemployment down , wages rising and he has started no wars and en\xe2\x80\xa6 https://t.co/ZOIFWSpD6v'",0,0
b'Hadududuuuu si ibuu~',0,0
b'@maddow How would you know? Your head was so far up the collusion ass that I\xe2\x80\x99m surprised you noticed anything. Did\xe2\x80\xa6 https://t.co/woitHcmm2n',0,0
"b""If we would have taken the oil, you wouldn't have ISIS.""",0,0
"b'bisa gk hukum mati aja? atau apain kek gtu, tapi buat anak2nya balikin aja ke indo tpi harus direhab supaya paham r\xe2\x80\xa6 https://t.co/KQaidGfCmK'",0,0
"b'Apa kata curut\xc2\xb2 HTI tentang khilafah yg mrk cita\xc2\xb2kan berdiri di NKRI jika ex warga khilafah Islamiyyah ISIS, yg jug\xe2\x80\xa6 https://t.co/OiVJ7Omvp2'",0,0
b'\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d',0,0
b'best = isis \nami = mali\n\xf0\x9f\xa4\x93\xf0\x9f\xa4\x93\xf0\x9f\xa4\x93',0,0
